ParName   Value   Gradient
log_fdev[2](19)    -0.502239   0.00128003
log_fdev[2](20)    -0.778275 -0.000480658
log_fdev[2](21)    -0.701286  0.000162866
log_fdev[2](22)     -1.15296 -0.000114531
log_fdev[2](23)     0.142793 -0.000622828
log_fdev[2](24)    -0.148544  0.000442214
log_fdev[2](25)    -0.911772  0.000387866
log_fdev[2](26)    -0.134446  0.000369978
log_fdev[2](27)     -0.42495  0.000407845
log_fdev[2](28)    -0.520709  -0.00204881
log_fdev[2](29)    -0.289298    0.0011069
log_fdev[2](30)    -0.566778   0.00141568
log_fdev[2](31)    -0.399484  -0.00136075
log_fdev[2](32)    -0.327232  -0.00112118
log_fdev[2](33)    -0.359496  0.000350697
log_fdev[2](34)    -0.724254   0.00129298
log_fdev[2](35)    -0.881653   0.00034971
log_fdev[2](36)     -1.34171  -0.00129532
log_fdev[2](37)     -1.85239   0.00037735
log_fdev[2](38)     -1.12618 -0.000626892
log_fdev[2](39)     -1.68392 -0.000266406
log_fdev[2](40)      -1.2976   0.00174992
log_fdev[2](41)    -0.765377 -0.000816139
log_fdev[2](42)    -0.319257 -0.000352335
log_fdev[2](43)     -0.36753  0.000360324
log_fdev[2](44)    -0.322931 -1.21323e-06
log_fdev[2](45)    -0.303743 -9.73015e-05
log_fdev[2](46)     -1.25848    -0.000785
log_fdev[2](47)     -2.19935  0.000275245
log_fdev[2](48)     -1.94659  0.000256868
log_fdev[3](1)    -0.116348 -9.59473e-05
log_fdev[3](2)     0.669865 -3.31253e-05
log_fdev[3](3)      1.22828 -7.39564e-05
log_fdev[3](4)      1.09265 -4.92893e-05
log_fdev[3](5)      1.38237 -5.42501e-05
log_fdev[3](6)      1.42421  0.000128213
log_fdev[3](7)     0.992683  0.000104784
log_fdev[3](8)     0.476421  0.000162249
log_fdev[3](9)      -0.9874 -0.000144437
log_fdev[3](10)    -0.578735  3.89171e-05
log_fdev[3](11)     -1.09941  6.86004e-05
log_fdev[3](12)    -0.256272   4.9191e-05
log_fdev[3](13)     0.940092   3.6216e-05
log_fdev[3](14)      1.41817  7.52126e-05
log_fdev[3](15)      3.24638  7.03051e-05
log_fdev[3](16)      1.28078 -1.88158e-05
log_fdev[3](17)     0.547657 -1.27594e-05
log_fdev[3](18)    -0.766339  2.52684e-05
log_fdev[3](19)     -2.11861  3.53906e-05
log_fdev[3](20)     -2.98268 -3.95357e-05
